sector,date,cpi,cpi_decimal,wage_nominal,wage_real,wage_nominal_growth,wage_real_growth
Overall,2016-02-01,136.965666608222,1.36965666608222,2180577,1592061.0281387852,10.034288309427392,6.286822056283749
Overall,2016-08-01,136.965666608222,1.36965666608222,2552962,1863943.03274741,23.37286027296108,19.171118820091458
Overall,2017-02-01,142.182412273917,1.4218241227391701,2702590,1900790.6510922117,23.939214253841985,19.391820884803014
Overall,2017-08-01,142.182412273917,1.4218241227391701,2742621,1928945.328847207,7.428978574690888,3.4873542247686067
Overall,2018-02-01,146.729898360527,1.46729898360527,2654070,1808813.3568243466,-1.7953148646298551,-4.838896604158598
Overall,2018-08-01,146.729898360527,1.46729898360527,2829130,1928121.0111988243,3.154245519158498,-0.04273411154038567
Overall,2019-02-01,151.176675071352,1.5117667507135202,2791517,1846526.2572301356,5.178725504602365,2.084952560943042
Overall,2019-08-01,151.176675071352,1.5117667507135202,2913897,1927477.898706732,2.9962214532382747,-0.033354363567270416
Overall,2020-02-01,154.080730631506,1.5408073063150598,2917497,1893485.9589791163,4.5129583663649555,2.5431375029252026
Overall,2020-08-01,154.080730631506,1.5408073063150598,2756345,1788896.6314626175,-5.40691726577844,-7.189772050672931
