year,province,city,composite,ncpr,poverty_rate,food_expenditure_share,no_electricity_population_share,no_water_population_share,mean_years_schooling_women,health_worker_population_share,life_expectancy,stunting,food_security_index,food_security_index_ranking
2018,sulawesi tenggara,buton selatan,2,5,15.99,22.56,24.05,21.97,7.04,0.97,67.17,43.5,48.07,382
2018,sulawesi tenggara,kota kendari,6,50,5.01,41.71,0.24,13.88,11.47,0.16,73.02,37.1,79.03,28
2018,sulawesi tenggara,kota bau-bau,5,50,8.39,41.41,0.09,16.79,9.95,0.44,70.5,33.7,68.98,58
2018,gorontalo,boalemo,5,0.89,21.85,28.53,7.52,48.25,6.78,3.44,67.86,32.4,69.24,273
2018,gorontalo,gorontalo,5,0.69,17.65,21.77,4.15,48.37,7.66,1.99,66.69,32.4,72.79,215
2018,gorontalo,pohuwato,5,1.14,21.27,31.45,1.58,13.98,7.54,7.61,62.86,33.2,71.29,245
2018,gorontalo,bone bolango,5,2.01,17.81,24.05,1.64,35.42,8.44,3.31,67.71,25.6,68.24,283
2018,gorontalo,gorontalo utara,5,0.44,19.23,36.66,3.84,39.2,7.29,4.22,65.12,27.4,73.53,201
2018,gorontalo,kota gorontalo,6,50,5.7,40.14,0,12.18,10.2,0.08,71.79,36.2,77.58,33
2018,sulawesi barat,majene,4,1.73,13.94,41.94,6.17,39.63,8.85,2.33,60.79,43.9,64.02,314
2018,sulawesi barat,polewali mandar,5,0.39,16.05,45.51,0.54,45.28,7.33,2.88,61.76,38.7,70.87,252
2018,sulawesi barat,mamasa,4,0.6,13.51,53.96,5.67,80.88,8.06,7.24,70.48,44.1,67.32,296
2018,sulawesi barat,mamuju,6,0.45,6.88,27.97,5.25,44.77,7.7,3.79,66.65,38.2,77.37,111
2018,sulawesi barat,mamuju utara,5,0.88,4.84,25.57,7.51,38.9,7.46,8,65.33,39.9,75.28,161
2018,sulawesi barat,mamuju tengah,6,0.56,6.95,27.3,9.83,44.55,7.39,3.19,67.52,39.1,76.52,129
2018,maluku,maluku tenggara barat,1,5,27.47,58.08,15.95,54.01,9.17,18.29,63.06,31.7,36.57,395
2018,maluku,maluku tenggara,4,2.08,23.87,9.15,16.53,53.25,9.38,8.03,64.61,26.6,61.85,327
2018,maluku,maluku tengah,4,1.24,21.2,41.44,1.59,50.88,9.46,10.15,66.06,32,66.68,300
2018,maluku,buru,5,0.68,17.4,27.15,5.51,47.68,8.66,13.93,66.03,31.8,72.24,230
2018,maluku,kepulauan aru,1,5,27.13,34.62,42.03,53.89,8.39,15.46,62.34,34.2,35.76,396
2018,maluku,seram bagian barat,3,1.51,25.49,38.68,12.62,65.58,8.77,7.19,60.96,29.1,58.51,336
2018,maluku,seram bagian timur,3,2.09,23.59,50.45,16.03,62.95,7.87,6.33,58.56,41.1,51.89,368
2018,maluku,maluku barat daya,2,2.76,30.18,45.79,23.88,72.53,8.32,15.19,61.62,34.8,45.55,383
2018,maluku,buru selatan,3,2.38,16.83,44.97,12.99,63.71,7.48,12.85,65.74,31,56.9,349
2018,maluku,kota ambon,5,50,4.46,46.48,0.68,30.4,11.35,0.26,69.92,22.1,70.46,51
2018,maluku,kota tual,1,50,24,49.6,5.66,43.49,10.11,0.69,64.61,30.3,24.44,97
2018,maluku utara,halmahera barat,4,2.67,8.74,28.73,1.7,61.06,7.89,3.9,65.55,23.6,62.13,324
2018,maluku utara,halmahera tengah,4,1.11,14.15,23.58,11.82,58.61,8.42,10.35,62.8,32.7,67.48,292
2018,maluku utara,kepulauan sula,3,2.74,8.59,50.39,15.56,48.78,8.74,8.2,62.6,39.4,57.87,341
2018,maluku utara,halmahera selatan,5,1.23,4.1,19.86,8.69,52.02,7.48,10.07,65.2,28.4,72.93,211
2018,maluku utara,halmahera utara,6,1.15,4.22,27.77,0.87,48.04,8.34,6.45,68.94,16.9,77.61,105
2018,maluku utara,halmahera timur,5,0.56,15.25,28.41,3.08,54.35,7.84,17.34,67.85,24.2,73.86,197
2018,maluku utara,pulau morotai,5,0.65,7.07,42.75,8,57.9,6.68,7.09,66.28,29,72.79,214
2018,maluku utara,pulau taliabu,2,3.61,7.17,35.57,35.02,68.36,7.48,13.35,61.32,16.6,50.9,372
2018,maluku utara,kota ternate,6,50,2.73,42.2,0,14.89,11.08,0.12,70.27,24.4,80.87,24
2018,maluku utara,kota tidore kepulauan,3,50,5.45,55.88,0,50.3,9.57,1,68.64,17.5,51.15,92
2018,papua barat,fakfak,1,5,25.96,57.36,4.68,34.79,9.53,100,67.95,31.3,39.29,392
2018,papua barat,kaimana,2,5,17.22,13.61,25.48,36.33,9.37,38.53,63.99,31.1,45.54,384
2018,papua barat,teluk wondama,1,5,36.37,25.82,16.58,57.8,9.36,15.33,59.26,38.6,33.22,398
2018,papua barat,teluk bintuni,1,5,34.32,26.26,6.3,34.26,8.72,67.05,59.83,24.9,37.23,394
2018,papua barat,manokwari,4,2.22,24.32,19.2,6.69,51.57,9.42,5.88,68,36.8,61.41,330
2018,papua barat,sorong selatan,2,5,19.66,41.67,13.24,34.52,8.17,16.46,65.63,36.8,44.02,389
2018,papua barat,sorong,3,2.67,32.86,26.02,9.97,27.85,8.78,64.13,65.52,28.4,55.02,355
2018,papua barat,raja ampat,3,3.19,20,20.22,11.1,42.63,8.64,24.26,64.26,36.9,54.99,356
2018,papua barat,tambrauw,1,5,35.99,42.91,7.18,65.65,6.95,100,59.29,37.3,26.03,407
2018,papua barat,maybrat,1,5,34.87,21.68,6.02,73.6,8.95,100,64.8,20.5,32.55,399
2018,papua barat,manokwari selatan,3,1.19,34.02,39.12,10.97,60.3,7.42,100,66.96,39.5,54.3,362
2018,papua barat,pegunungan arfak,1,4,39.23,50.27,72.79,56.07,4.68,55.55,66.72,43.5,30.25,401
2018,papua barat,kota sorong,4,50,17.78,42.23,0.43,9.89,10.96,1,69.67,32.7,58.4,86
2018,papua,merauke,6,0.28,10.81,22.54,5.3,32.97,7.72,65.52,66.56,17.6,78.53,82
2018,papua,jayawijaya,3,0.66,38.62,30.76,42.07,42.7,5.6,4.34,58.67,39,57.05,347
2018,papua,jayapura,4,3.28,13.01,36.13,2.93,36.75,8.74,7.79,66.47,27.9,60.04,334
2018,papua,nabire,5,0.55,25.38,30.34,7.36,25.36,8.89,6.49,67.55,31.4,74.41,178
2018,papua,kepulauan yapen,3,2.94,26.82,58.67,29.6,39.92,8.12,10.04,68.71,41.9,51.6,369
2018,papua,biak numfor,2,5,25.44,56,1.36,30.18,8.85,38.77,67.87,34.2,42.87,390
2018,papua,paniai,2,0.66,37.4,54.53,68.03,58.51,3.14,65.26,65.7,42.3,49.35,377
2018,papua,puncak jaya,1,5,36.01,60.55,85.09,72.22,4.25,11.18,64.41,27.8,23.81,409
2018,papua,mimika,3,5,14.89,36.46,1.85,6.35,8.89,2.36,71.93,32.2,55.78,353
2018,papua,boven digoel,2,3.21,19.9,37.86,8.37,39.28,8.08,50.55,58.77,31.8,50.69,373
2018,papua,mappi,1,5,25.75,67.23,73.14,62.36,5.83,40.43,64.3,31.4,28.34,403
2018,papua,asmat,1,5,27.16,74.2,18.71,48.54,4.31,79.77,56.32,25.9,27.91,405
2018,papua,yahukimo,1,3.36,39.33,52.1,97.09,81.44,2.78,41.85,65.32,34.4,28.31,404
2018,papua,pegunungan bintang,1,5,30.6,69.1,65.78,44.15,4.88,49.48,63.9,39.3,27.71,406
2018,papua,tolikara,1,3.14,32.73,75.48,88.93,86.42,2.62,24.68,65.1,41,29.83,402
2018,papua,sarmi,1,5,13.75,37.88,18.15,44.49,8.47,100,65.82,35.7,40.76,391
2018,papua,keerom,3,3.31,16.69,20.18,4.46,34.36,7.32,26.02,66.18,26.6,58.44,337
2018,papua,waropen,2,2.98,30.82,39.16,6.97,55.81,7.89,27.12,65.82,28.1,50.18,375
2018,papua,supiori,1,5,37.4,45.35,25.79,40.95,7.83,3.17,65.33,38.1,35.55,397
2018,papua,mamberamo raya,1,5,29.88,71.73,56.12,60.32,5.42,100,56.9,29,21.94,411
2018,papua,nduga,1,5,37.29,77.33,93.51,98.75,1.57,69.14,54.6,37.8,7.38,416
2018,papua,lanny jaya,1,5,39.6,42.77,96.91,98.23,3.71,14.39,65.65,28.6,19.08,414
2018,papua,mamberamo tengah,1,5,36.38,22.34,61.08,100,2.1,34.97,62.92,26,21.63,412
2018,papua,yalimo,1,5,34.97,23.33,14.18,73.28,2.58,22.6,64.94,33.2,30.71,400
2018,papua,puncak,1,5,37.46,89.55,84.85,33.55,2.25,42.62,65.13,29.8,24.21,408
2018,papua,dogiyai,1,5,30.36,60.68,96.4,88.03,4.47,26.24,65.12,43.9,20.33,413
2018,papua,intan jaya,1,5,42.23,91.1,88.94,96.98,1.4,86.18,65.09,45.5,7.81,415
2018,papua,deiyai,1,5,43.63,55.44,55.35,59.74,1.95,12.45,64.63,37.7,23.29,410
2018,papua,kota jayapura,5,50,11.46,44.63,0.12,12.5,9.55,0.91,70,31.6,61.47,81
2019,aceh,simeulue,5,0.82,19.78,50.05,1.43,29.35,8.9,2.28,65,47.31,70.59,275
2019,aceh,aceh singkil,2,5,21.25,31.52,0.29,46.02,8.33,2.93,67.16,26.94,45.88,385
2019,aceh,aceh selatan,5,0.69,14.01,55.21,0.75,50.19,8.5,5.64,64.02,35.93,70.06,282
2019,aceh,aceh tenggara,5,0.41,14.29,50.21,0.86,37.51,9.18,4.84,67.77,45.3,75.28,208
2019,aceh,aceh timur,5,0.42,14.49,43.55,0.68,41.64,8.18,3.2,68.44,42.8,75.08,215
2019,aceh,aceh tengah,5,0.88,15.58,35.06,0.16,39.5,9.77,3.82,68.62,39.8,74.05,232
2019,aceh,aceh barat,5,0.68,19.31,40.58,1.45,29.88,9.32,2.75,67.72,32.63,74.9,219
2019,aceh,aceh besar,6,0.48,14.47,36.78,1.03,11.35,9.82,1.72,69.59,38.72,81.67,73
2019,aceh,pidie,5,0.32,20.47,49.49,0.68,40.67,8.96,1.2,66.68,36.16,73.47,240
2019,aceh,bireuen,6,0.51,14.31,50.14,0.54,39.74,9.32,0.71,70.92,40.97,76.35,194
2019,aceh,aceh utara,5,0.31,18.27,57.97,0,45.94,8.39,1.54,68.61,32.53,73.77,234
2019,aceh,aceh barat daya,5,0.35,17.1,57.39,1.96,55.03,8.59,2.55,64.65,35.41,70.53,276
2019,aceh,gayo lues,5,0.44,20.7,26.8,0.62,27.56,7.65,6.57,65.12,44.4,74.18,230
2019,aceh,aceh tamiang,6,1.01,14.21,29.25,0.33,22.92,8.92,2.51,69.28,33.42,77.2,170
2019,aceh,nagan raya,5,0.64,18.97,37.73,0.72,35.98,8.15,4.85,68.89,40.56,73.73,236
2019,aceh,aceh jaya,6,0.49,14.16,50.78,1.36,24.51,8.6,8.45,66.88,34,76.79,181
2019,aceh,bener meriah,3,3.47,20.13,29.41,0.53,39.69,9.65,1.72,68.99,45.95,56.73,358
2019,aceh,pidie jaya,6,0.3,20.17,49.76,0.99,28.96,9.03,1.37,69.81,36.8,76.81,179
2019,aceh,kota banda aceh,6,50,7.25,8.95,0,0.35,11.98,0.02,71.1,26.58,84.79,19
2019,aceh,kota sabang,5,50,16.31,17.45,0,3.12,11.21,0.4,70.21,23.48,68.85,71
2019,aceh,kota langsa,6,5.57,10.79,10.81,0,13.42,11.23,0.24,69.16,27.52,71.95,64
2019,aceh,kota lhokseumawe,6,3.83,11.81,23.88,0,4.85,10.92,0.07,71.27,35.41,71.33,65
2019,aceh,kota subulussalam,1,7.24,18.51,53.38,0.31,57.11,7.99,1,63.69,49.62,17.4,98
2019,sumatera utara,nias,4,0.85,16.37,57.98,33.47,78.73,4.91,2.23,69.43,61.32,59.7,344
2019,sumatera utara,mandailing natal,4,0.91,9.58,55.17,8.48,59.78,8.38,17.02,62.24,48.3,65.83,321
2019,sumatera utara,tapanuli selatan,5,0.52,9.16,59.05,5.61,44.8,8.77,8.33,64.55,28.76,73.81,233
2019,sumatera utara,tapanuli tengah,4,1.56,13.17,56.09,6.31,53.43,8.24,2.04,66.82,43.69,64.71,324
2019,sumatera utara,tapanuli utara,6,0.43,9.75,58.82,1.2,44.61,9.53,2.62,68.11,38.26,75.99,199
2019,sumatera utara,toba samosir,6,0.23,8.67,45.85,3.33,28.61,10.14,2.33,69.59,29.74,82.61,52
2019,sumatera utara,labuhanbatu,4,2.58,8.61,34.95,3.79,36.88,9.06,2.41,69.6,36.38,66.75,316
2019,sumatera utara,asahan,5,2.13,10.25,31.48,0.29,18.22,8.71,2.65,67.79,24.87,72.29,252
2019,sumatera utara,simalungun,6,0.38,9.31,39.27,0.44,40.42,9.31,1.64,70.75,28.43,80.6,98
2019,sumatera utara,dairi,6,0.45,8.2,62.36,1.16,37.03,9.16,1.4,68.41,40.17,77.18,171
2019,sumatera utara,karo,6,0.39,8.67,53.54,1.39,28.52,9.53,2.04,70.97,29.59,81.49,76
2019,sumatera utara,deli serdang,6,1.18,4.13,23.72,0.11,18.31,9.98,0.61,71.31,25.68,83.17,41
2019,sumatera utara,langkat,6,1.15,10.2,35.37,0.17,26.15,8.61,3.67,68.22,31.64,76.29,195
2019,sumatera utara,nias selatan,4,1.29,16.65,42.59,26.38,65.4,5.69,1.47,68.24,45.06,62.01,333
2019,sumatera utara,humbang hasundutan,5,0.41,9,47.79,1.37,59.03,9.12,5.94,68.69,41.33,74.7,224
2019,sumatera utara,pakpak barat,4,1.06,9.74,49.05,2.67,65.32,8.24,4.74,65.27,45.58,67.04,311
2019,sumatera utara,samosir,5,0.54,13.38,61.97,0.68,59.01,9.07,4.24,70.87,24.37,73.65,237
2019,sumatera utara,serdang bedagai,6,0.26,8.22,40.16,0.51,31.46,8.71,1.43,68.08,35.99,80.95,91
2019,sumatera utara,batu bara,5,1.08,12.57,42.72,0.41,25.83,8.04,1.51,66.38,23.72,74.94,216
2019,sumatera utara,padang lawas utara,4,2.24,10.06,47.21,7.37,51.9,9.01,5.12,66.77,47.53,62.47,329
2019,sumatera utara,padang lawas,4,1.68,8.41,46.74,7.45,51.21,8.95,4.44,66.69,42.89,66.93,312
2019,sumatera utara,labuhanbatu selatan,2,5,10,37.93,1.46,36.14,8.96,4.22,68.39,34.88,51.02,373
2019,sumatera utara,labuhanbatu utara,6,0.84,10.12,41.39,3.97,32.87,8.46,2.42,69.09,31.23,76.8,180
2019,sumatera utara,nias utara,3,1.53,26.56,51.92,27.92,65.8,5.92,2.91,68.98,45.46,56.38,359
2019,sumatera utara,nias barat,2,2.56,26.72,47.44,18.07,83.03,6.19,0.73,68.5,45.86,48.5,379
2019,sumatera utara,kota sibolga,5,50,12.38,34.27,0,9.88,10.11,0.07,68.36,23.36,65.23,82
2019,sumatera utara,kota tanjungbalai,4,46.26,14.64,48.72,0,1.4,9.41,0.16,62.6,35.9,52.19,93
2019,sumatera utara,kota pematangsiantar,6,2.98,8.7,31.75,0,6.08,10.8,0.06,72.93,20.52,76.45,48
2019,sumatera utara,kota tebingtinggi,5,3.96,10.27,20.26,0.58,20.97,10.24,0.05,70.47,25.92,66.16,77
2019,sumatera utara,kota medan,6,50,8.25,16.41,0,3.94,11.35,0.03,72.64,27.02,80.91,33
2019,sumatera utara,kota binjai,6,5.63,5.88,20.72,0,8.99,10.71,0.04,71.95,28.28,78.33,43
2019,sumatera utara,kota padangsidimpuan,4,1.47,7.69,28.36,0.29,34.7,10.87,0.11,68.73,39.83,59.75,90
2019,sumatera utara,kota gunungsitoli,2,3.93,18.44,19.8,2.59,24.71,8.36,0.53,70.67,40.37,37.46,97
2019,sumatera barat,kepulauan mentawai,1,5,14.44,65.01,23.65,59.79,7.38,19.25,64.49,32.4,38.86,396
2019,sumatera barat,pesisir selatan,6,0.36,7.59,33.64,1.69,28.71,8.41,6.68,70.45,26.54,82.77,49
2019,sumatera barat,solok,6,0.4,8.88,46.2,2.7,30.14,8.39,3.95,67.95,41.46,78.6,143
2019,sumatera barat,sijunjung,6,0.72,7.11,35.67,3.54,29.8,8.11,6.48,65.69,35,77.35,167
2019,sumatera barat,tanah datar,6,0.29,5.32,36.62,1.04,19.86,8.76,1.74,69.38,26.27,85.22,14
2019,sumatera barat,padang pariaman,6,0.45,8.04,39.54,1.73,39.31,7.94,1.36,68.23,26.09,79.06,128
2019,sumatera barat,agam,6,0.38,6.76,36.56,1.25,36.07,8.97,2.86,71.83,30.04,82.49,56
2019,sumatera barat,lima puluh kota,6,0.31,6.99,41.72,0.99,39.94,8.17,4.98,69.47,40.13,79.4,121
2019,sumatera barat,pasaman,6,0.28,7.31,47.53,2.21,29.48,8,4.88,66.82,40.56,79.28,123
2019,sumatera barat,solok selatan,6,0.37,7.07,30.87,1.64,39.64,8.57,5.49,67.21,27.72,80.13,108
2019,sumatera barat,dharmasraya,6,1.13,6.42,25.13,0.79,38.51,8.35,5.54,70.73,30.34,77.61,163
2019,sumatera barat,pasaman barat,6,0.52,7.34,40.67,1.35,42.63,8.14,3.97,67.37,35.1,77.17,172
2019,sumatera barat,kota padang,6,3.38,4.7,11.94,0.22,9.31,11.4,0.16,73.35,22.44,83.33,25
2019,sumatera barat,kota solok,6,1.11,3.3,14.34,0.48,0.87,11.38,0.09,73.14,23.58,85.4,12
2019,sumatera barat,kota sawahlunto,5,1.25,2.39,26.4,0.89,10.61,9.47,0.87,69.59,20.63,65.89,78
2019,sumatera barat,kota padang panjang,6,2.47,5.88,12.59,0.39,9.15,11.22,0.06,72.58,27.24,80.01,39
2019,sumatera barat,kota bukittinggi,6,3.88,4.92,11.65,0,4.19,11.11,0.02,73.91,17.16,88.02,4
2019,sumatera barat,kota payakumbuh,6,0.97,5.77,19.6,0.44,2.27,10.48,0.14,73.33,19.24,80.66,35
2019,sumatera barat,kota pariaman,6,1.03,5.03,30.86,0.25,21.58,10.57,0.13,69.87,17.77,71.04,67
2019,riau,kuantan singingi,6,1.24,9.92,24.87,1.75,29.46,8.59,5.14,68.17,24.61,76.48,189
2019,riau,indragiri hulu,4,4.41,6.3,18.3,1.51,22.39,8.41,5.76,69.97,32.21,60.14,343
2019,riau,indragiri hilir,4,1.12,7.05,38.86,9.76,80,7.39,7.51,67.32,32.2,67.08,310
2019,riau,pelalawan,5,3.01,9.73,15.51,2.2,21.52,8.67,9.23,70.74,25.51,68.62,299
2019,riau,siak,6,2.26,5.44,14.86,1.55,16.05,9.56,7.7,70.79,20.96,76.6,183
2019,riau,kampar,4,3.37,8.18,30.94,0.67,30.34,8.62,4.95,70.35,32.05,63.97,326
2019,riau,rokan hulu,3,5,10.95,25.82,1.58,23.61,8.36,6.56,69.55,27.25,54.25,364
2019,riau,bengkalis,4,4.13,6.22,17.71,1.66,38.3,9.24,5.03,70.85,32.27,60.36,342
2019,riau,rokan hilir,5,1.73,7.06,31.11,3.18,42.79,8.35,4.95,69.87,38.08,71.42,263
2019,riau,kepulauan meranti,3,2.32,27.79,26.99,10.03,90.23,7.73,4.28,67.21,29.87,52.07,369
2019,riau,kota pekanbaru,6,42.68,2.85,12.15,0.19,6.44,10.96,0.15,71.94,16,85.38,13
2019,riau,kota dumai,5,16.43,3.71,15.81,0.46,13.26,9.91,1,70.55,17.26,69.95,69
2019,jambi,kerinci,6,0.34,7.07,30.35,2.51,27.86,8.09,5.1,69.65,42.36,81.7,72
2019,jambi,merangin,5,1.16,8.88,26.66,2.63,51.54,7.77,5.24,71.04,34.97,73.74,235
2019,jambi,sarolangun,5,2.09,8.73,28.08,4.61,49.63,7.74,5.89,68.94,18.83,68.48,301
2019,jambi,batang hari,5,0.93,10.23,35.11,1.93,46.89,8.06,4.92,70.26,32.76,74.77,223
2019,jambi,muaro jambi,5,1.72,4.05,36.01,2.25,36.24,8.4,5.27,71.02,20.68,75.21,210
2019,jambi,tanjung jabung timur,5,0.51,12.38,33.88,2.59,74.25,6.68,6.41,65.86,40.89,68.96,294
2019,jambi,tanjung jabung barat,5,0.9,11.1,41.64,6.81,61.18,7.87,4.07,67.87,43.99,69.54,288
2019,jambi,tebo,5,1.53,6.58,31.69,3.48,38.09,7.58,10.06,69.77,33.03,73.19,241
2019,jambi,bungo,5,1.93,5.78,32.84,2.46,36.27,8.13,2.87,67.42,20.74,71.91,257
2019,jambi,kota jambi,6,11.82,8.49,20.6,0,11.61,10.61,0.05,72.43,26.22,75.74,50
2019,jambi,kota sungai penuh,5,0.43,2.76,27.72,0,10.95,10.18,1,71.84,35.75,68.37,73
2019,sumatera selatan,ogan komering ulu,4,2.35,12.61,28.88,0.84,38.48,8.8,1.83,67.83,33.19,66.54,319
2019,sumatera selatan,ogan komering ilir,6,0.38,15.28,27.15,1.18,40.46,7.11,7.56,68.22,30.62,76.59,184
2019,sumatera selatan,muara enim,5,1.32,12.56,31.62,0.54,34.37,7.87,3.71,68.38,34.37,72.84,248
2019,sumatera selatan,lahat,5,0.81,16.15,34.73,0.72,56.3,8.6,5.47,65.5,48.12,68.94,296
2019,sumatera selatan,musi rawas,6,0.43,13.76,17.99,0.21,40.48,7.43,4.43,67.59,34.56,77.34,168
2019,sumatera selatan,musi banyuasin,6,0.67,16.52,20.46,1.71,34.53,7.46,7.97,68.33,31.07,75.94,200
2019,sumatera selatan,banyu asin,6,0.16,11.32,23.73,1.97,55.51,7.37,7.21,68.55,29.3,77.71,159
2019,sumatera selatan,ogan komering ulu selatan,5,0.7,10.64,46.44,6.49,58.4,8.09,4.69,66.49,26.39,71.88,258
2019,sumatera selatan,ogan komering ulu timur,6,0.18,10.57,27.97,0.43,40.94,7.68,1.5,68.65,27.16,80.49,100
2019,sumatera selatan,ogan ilir,5,0.39,13.19,31.68,1.63,41.71,7.85,1.73,64.96,43.92,74.88,220
2019,sumatera selatan,empat lawang,4,0.8,12.25,42.9,4.15,73.97,7.32,3.81,64.56,36.02,66.75,315
2019,sumatera selatan,penukal abab lematang ilir,5,1.26,13.81,19.75,0.42,38.54,6.4,2.27,67.88,39.5,71.72,260
2019,sumatera selatan,musi rawas utara,4,1.98,19.12,37.59,5.52,46.55,6.59,8.63,65.21,33.24,61.49,335
2019,sumatera selatan,kota palembang,6,12.51,10.95,14.92,0,4.97,10.25,0.06,70.32,25.89,74.36,54
2019,sumatera selatan,kota prabumulih,5,9.41,11.39,14.53,0,30.36,9.79,0.27,69.88,26.23,63.21,86
2019,sumatera selatan,kota pagar alam,3,1.17,8.77,25.17,0.88,50.43,9.44,0.98,66.14,31.87,41.64,96
2019,sumatera selatan,kota lubuklinggau,3,5.49,13.02,32.46,0,38.16,9.61,0.43,68.83,31.99,51.06,94
2019,bengkulu,bengkulu selatan,5,0.45,18.65,32.67,1.33,59.92,9.36,1.17,67.45,33.74,72.44,249
2019,bengkulu,rejang lebong,5,0.89,16.23,28.96,5.13,59.64,8.26,1.79,67.95,26.01,70.93,271
2019,bengkulu,bengkulu utara,4,1.62,11.81,34.89,1.64,63.03,7.81,3.27,67.67,26.81,66.85,314
2019,bengkulu,kaur,5,0.67,19.4,35.16,1.24,56.11,8.65,4.39,66.15,34.26,70.06,281
2019,bengkulu,seluma,4,0.81,19.6,32.95,3.67,66.46,7.97,2.92,67.14,35.9,67.55,308
2019,bengkulu,mukomuko,5,1.46,11.4,30.32,0.58,39.46,7.95,4.47,66.16,33.15,70.84,273
2019,bengkulu,lebong,5,0.73,11.59,48.95,2.69,42.68,7.99,4.52,62.73,26.06,72.19,254
2019,bengkulu,kepahiang,5,1.1,14.42,22.52,1.98,43.7,8.16,1.03,67.39,36.67,72.36,251
2019,bengkulu,bengkulu tengah,5,1.18,8.2,33.86,1.39,50.74,7.47,2.21,67.82,23.27,73.03,245
2019,bengkulu,kota bengkulu,5,5.84,18.82,9.5,0.17,18.62,11.23,0.06,69.72,17.99,66.48,76
2019,lampung,lampung barat,5,0.77,13.54,29.3,2.2,40.38,7.89,2.46,67.09,32.96,74.62,225
2019,lampung,tanggamus,6,0.77,12.48,28.17,0.43,34.33,7.32,1.44,68.04,29.87,76.55,188
2019,lampung,lampung selatan,6,0.39,14.86,35.46,0,28.47,7.61,0.49,68.87,29.09,78.99,130
2019,lampung,lampung timur,6,0.14,15.76,25.02,0,57.76,7.62,3.3,70.31,24.71,77.38,166
2019,lampung,lampung tengah,6,0.16,12.62,31.42,0.35,48.59,7.6,1.96,69.46,25.32,78.88,137
2019,lampung,lampung utara,5,0.12,20.85,38.86,0.66,76.69,8.5,0.93,68.71,26.64,71.35,265
2019,lampung,way kanan,5,0.27,13.52,37.29,0.56,72.76,7.18,1.8,68.95,36.07,72.37,250
2019,lampung,tulangbawang,6,0.21,9.7,24.94,2.52,30.15,7.66,2.27,69.59,32.49,82.29,62
2019,lampung,pesawaran,6,0.44,15.97,38.49,0.31,36.71,7.73,1.88,68.53,27.5,76.74,182
2019,lampung,pringsewu,6,0.52,10.5,26.81,0.15,19.7,8.28,0.35,69.44,20.19,83.13,45
2019,lampung,mesuji,6,0.48,7.55,23.52,0,23.97,6.88,3.14,67.71,28.16,81.78,70
2019,lampung,tulang bawang barat,6,0.1,8.1,20.8,0,62.24,7.02,1.08,69.56,27.2,79.28,122
2019,lampung,pesisir barat,5,0.48,14.98,45.89,1.75,49.89,8.12,3.5,62.85,24.43,71.98,256
2019,lampung,kota bandar lampung,6,49.25,9.04,16.7,0.2,13.38,10.51,0.05,71.01,25.15,73.49,58
2019,lampung,kota metro,6,0.93,9.14,13.54,0,19.08,10.48,0.05,71.29,14.75,75.85,49
2019,kepulauan bangka belitung,bangka,5,3.12,5.47,14.79,0.3,20.15,8.38,0.26,70.73,23.91,70.29,280
2019,kepulauan bangka belitung,belitung,3,5,7.56,10.7,0.37,16.3,8.24,0.39,70.64,19.9,59.22,347
2019,kepulauan bangka belitung,bangka barat,4,4.24,3.05,14.53,1.22,23.93,7.58,0.5,69.73,33.27,62.07,332
2019,kepulauan bangka belitung,bangka tengah,3,5,5.81,18.93,0.35,20.47,7.28,0.45,70.78,26.09,57.6,353
2019,kepulauan bangka belitung,bangka selatan,4,3.15,3.7,26.21,0,25.46,6.81,0.84,67.47,26.92,66.52,320
2019,kepulauan bangka belitung,belitung timur,4,5,7.06,14.44,1.43,17.75,8.3,0.6,71.59,14.72,59.66,345
2019,kepulauan bangka belitung,kota pangkalpinang,6,50,4.95,8.64,0,6.96,9.81,0.01,72.86,13.32,85.37,14
2019,kepulauan riau,karimun,3,5,6.9,17.97,1.15,18.22,7.84,1.46,70.52,31.59,57.25,356
2019,kepulauan riau,bintan,3,5,6.61,13.46,2.72,38.45,8.22,2.03,70.21,21.48,55.35,361
2019,kepulauan riau,natuna,3,5,4.68,19.75,1.42,13.09,8.82,3.31,64.57,22.17,57.26,355
2019,kepulauan riau,lingga,2,5,13.55,23.34,1.79,22.47,6.62,4.23,61.44,22.03,49.71,378
2019,kepulauan riau,kepulauan anambas,2,5,6.93,18.35,3.02,51.18,6.92,1.19,66.91,26.09,50.39,375
2019,kepulauan riau,kota batam,6,50,5.11,8.62,0.38,2.44,10.84,0.37,73.24,22.92,82.14,30
2019,kepulauan riau,kota tanjungpinang,6,50,9.24,6.45,0,18,9.86,0.12,71.93,23.35,74.81,52
2019,dki jakarta,kepulauan seribu,3,5,11.98,67.92,0,9.49,9.67,0.05,68.27,27.12,53.29,365
2019,dki jakarta,kota jakarta selatan,6,50,2.83,8.49,0,13.67,11.34,0.01,73.93,16.23,88.56,3
2019,dki jakarta,kota jakarta timur,6,50,3.14,13.19,0,10.38,11.02,0.01,74.27,18.36,87.31,5
2019,dki jakarta,kota jakarta pusat,6,50,3.59,18.6,0,1.13,11.06,0,73.92,23.5,87.1,6
2019,dki jakarta,kota jakarta barat,6,50,3.39,19.02,0,2.38,10.11,0.01,73.45,14.84,86.42,9
2019,dki jakarta,kota jakarta utara,6,50,5.35,19.71,0,0.33,10.33,0.02,73.08,18.95,84.19,21
