province,year,homeownership,homeownership_index
Bengkulu,2001,80.78,104.67798367241157
Bengkulu,2002,81.52,105.6369055332383
Bengkulu,2003,81.06,105.04081897110275
Bengkulu,2004,78.6,101.85305170403005
Bengkulu,2005,79.76,103.35622651289363
Bengkulu,2006,77.1,99.90929117532718
Bengkulu,2007,75.78,98.19878191006867
Bengkulu,2008,75.39,97.69340417260594
Bengkulu,2009,77.36,100.24620966696902
Bengkulu,2010,78.05,101.14033951017234
Bengkulu,2011,79.15,102.56576389788779
Bengkulu,2012,80.56,104.39289879486849
Bengkulu,2013,81.25,105.28702863807177
Bengkulu,2014,80.64,104.49656602306597
Bengkulu,2015,85.52,110.8202669431126
Bengkulu,2016,84.27,109.20046650252688
Bengkulu,2017,80.83,104.74277569003499
Bengkulu,2018,83.39,108.06012699235454
Bengkulu,2019,82.72,107.19191395620061
Bengkulu,2020,83.56,108.28041985227419
Lampung,1999,91.59,100
Lampung,2000,91.61,100.02183644502674
Lampung,2001,89.88,98.13298395021289
Lampung,2002,90.47,98.77715907850202
Lampung,2003,90.11,98.38410306802052
Lampung,2004,89.88,98.13298395021289
Lampung,2005,88.8,96.95381591876841
Lampung,2006,88.07,96.15678567529206
Lampung,2007,86.05,93.95130472759034
Lampung,2008,87.01,94.99945408887433
Lampung,2009,85.97,93.86395894748335
Lampung,2010,86.7,94.66098919095971
Lampung,2011,86.64,94.59547985587946
Lampung,2012,86.5,94.44262474069221
Lampung,2013,87.62,95.6654656621902
Lampung,2014,88.3,96.40790479309968
Lampung,2015,90.35,98.64614040834151
Lampung,2016,90.71,99.03919641882301
Lampung,2017,86.36,94.28976962550496
Lampung,2018,87.89,95.9602576700513
Lampung,2019,88.6,96.73545146850093
Lampung,2020,88.39,96.50616879572004
Jakarta,1999,65.43,100
Jakarta,2000,62.1,94.91059147180192
Jakarta,2001,51.42,78.58780375974324
Jakarta,2002,59.23,90.52422436191348
Jakarta,2003,56.57,86.4588109429925
Jakarta,2004,55.25,84.4413877426257
Jakarta,2005,53.3,81.46110346935656
Jakarta,2006,51.69,79.0004585052728
Jakarta,2007,47.76,72.99403943145344
Jakarta,2008,50.26,76.81491670487543
Jakarta,2009,48.02,73.39141066788935
Jakarta,2010,45.19,69.06617759437566
Jakarta,2011,47.95,73.28442610423352
Jakarta,2012,56.59,86.48937796117988
Jakarta,2013,47.26,72.22986397676905
Jakarta,2014,47.76,72.99403943145344
Jakarta,2015,51.09,78.08344795965154
Jakarta,2016,50.16,76.66208161393855
Jakarta,2017,48.33,73.86519944979366
Jakarta,2018,47.85,73.13159101329664
Jakarta,2019,47.12,72.01589484945742
Jakarta,2020,45.04,68.83692495797035
West Java,1999,84.42,100
West Java,2000,84.64,100.26060175313907
West Java,2001,82.21,97.38213693437572
West Java,2002,83.47,98.87467424780857
West Java,2003,84.03,99.53802416488983
West Java,2004,83.22,98.57853589196873
West Java,2005,82.83,98.11656005685856
West Java,2006,81.2,96.18573797678276
West Java,2007,79.1,93.69817578772802
West Java,2008,77.28,91.54228855721392
West Java,2009,78.09,92.50177683013504
West Java,2010,75.67,89.63515754560531
West Java,2011,78.39,92.85714285714286
West Java,2012,78.99,93.56787491115848
West Java,2013,78.87,93.42572850035536
West Java,2014,78.54,93.03482587064677
West Java,2015,80.63,95.51054252546788
West Java,2016,81.58,96.63586827765933
West Java,2017,76.83,91.0092395167022
West Java,2018,77.71,92.05164652925846
West Java,2019,77.89,92.26486614546316
West Java,2020,77.6,91.92134565268893
Central Java,1999,92.33,100
Central Java,2000,91.74,99.36098776129101
Central Java,2001,88.47,95.81934365861584
Central Java,2002,89.43,96.85909238600672
Central Java,2003,90.19,97.68222679519116
Central Java,2004,89.06,96.45835589732482
Central Java,2005,89.12,96.52334019278676
Central Java,2006,89.18,96.58832448824867
Central Java,2007,88.35,95.68937506769197
Central Java,2008,88.31,95.64605220405069
Central Java,2009,88.45,95.7976822267952
Central Java,2010,87.88,95.18033141990685
Central Java,2011,87.98,95.28863857901008
Central Java,2012,88.95,96.33921802231129
Central Java,2013,88.14,95.46193003357523
Central Java,2014,88.06,95.37528430629266
Central Java,2015,90.93,98.48369977255498
Central Java,2016,90.77,98.31040831798981
Central Java,2017,88.01,95.32113072674105
Central Java,2018,88.17,95.49442218130619
Central Java,2019,89.04,96.43669446550417
Central Java,2020,89.2,96.60998592006932
Yogyakarta,1999,77.9,100
