year,trade_flow,partner,trade_value_usd,share_of_total
2005,Import,Other,47972222246,0.8313949715372383
2005,Export,China,6662353805,0.0777767673122715
2005,Export,USA,9889195575,0.11544713560019648
2005,Export,Other,69108398124,0.8067760970875321
2006,Import,China,6636895111,0.10868491848340815
2006,Import,USA,4066342629,0.06658989026751136
2006,Import,Other,50362227493,0.8247251912490805
2006,Export,China,8343571337,0.08277466195135023
2006,Export,USA,11259135631,0.11169930813530088
2006,Export,Other,81195908699,0.8055260299133489
2007,Import,China,8557875734,0.11491179981670072
2007,Import,USA,4797495555,0.0644188892165645
2007,Import,Other,61118057442,0.8206693109667348
2007,Export,China,9675512723,0.08479788528616414
2007,Export,USA,11644198464,0.1020517913487323
2007,Export,Other,92781161616,0.8131503233651035
2008,Import,China,15249200995,0.11798764400114044
2008,Import,USA,7897981066,0.06110904949370796
2008,Import,Other,106096868230,0.8209033065051516
2008,Export,China,11636503721,0.0849253224239039
2008,Export,USA,13079933994,0.09545973931320768
2008,Export,Other,112303986687,0.8196149382628884
2009,Import,China,14002169898,0.14460695027709108
2009,Import,USA,7094373849,0.07326691319293105
2009,Import,Other,75732618829,0.7821261365299779
2009,Export,China,11499327261,0.09869820678225527
2009,Export,USA,10889078628,0.09346047031286246
2009,Export,Other,94121585892,0.8078413229048823
1989,Import,China,527325216,0.032233467271702676
1989,Import,USA,2217805312,0.1355663502717085
1989,Import,Other,13614425568,0.8322001824565888
1989,Export,China,568129024,0.025791092769158693
1989,Export,USA,3473324032,0.15767689827911402
1989,Export,Other,17986656768,0.8165320089517273
1990,Import,China,652291840,0.029870902657725643
1990,Import,USA,2520014336,0.11540095753264233
1990,Import,Other,18664725248,0.854728139809632
1990,Export,China,834385280,0.03249755678870944
1990,Export,USA,3364580352,0.13104334853473926
1990,Export,Other,21476357760,0.8364590946765513
1991,Import,China,834952320,0.03227639445499543
1991,Import,USA,3396822528,0.1313095145449057
1991,Import,Other,21637047680,0.8364140910000989
1991,Export,China,1190896512,0.04086479301555033
1991,Export,USA,3508495616,0.12039160892580206
1991,Export,Other,24442967936,0.8387435980586476
1992,Import,China,751460416,0.027546611365592565
1992,Import,USA,3822369280,0.14011825348354726
1992,Import,Other,22705765824,0.8323351351508602
1992,Export,China,1396435968,0.041111571354151596
1992,Export,USA,4419086848,0.13009948786405426
1992,Export,Other,28151458304,0.8287889407817941
1993,Import,China,935928960,0.03303931226961323
1993,Import,USA,3254448896,0.11488559274887916
1993,Import,Other,24137359488,0.8520750949815076
1993,Export,China,1249489280,0.03393253270603887
1993,Export,USA,5229773312,0.142025591411724
1993,Export,Other,30343490688,0.8240418758822371
1994,Import,China,1368985856,0.042802917590263743
1994,Import,USA,3587783680,0.1121761839347544
1994,Import,Other,27026701056,0.8450208984749819
1994,Export,China,1321669888,0.032997682148055776
1994,Export,USA,5828543488,0.14551926101167584
1994,Export,Other,32903202560,0.8214830568402683
1995,Import,China,1495185024,0.03680119976909235
1995,Import,USA,4755852800,0.1170564753898961
1995,Import,Other,34377665408,0.8461423248410116
1995,Export,China,1741710464,0.03834849317347816
1995,Export,USA,6321696768,0.13918934884027137
1995,Export,Other,37354556288,0.8224621579862504
