date,retail_sales_index_growth
2017-01-01,6.330167403985058
2017-02-01,3.721512922314645
2017-03-01,4.241948747575421
2017-04-01,4.239784299809941
2017-05-01,4.330986637003619
2017-06-01,6.2518832364030175
2017-07-01,-3.3020887410031605
2017-08-01,2.183477701200161
2017-09-01,1.8444134268199406
2017-10-01,2.214609213617706
2017-11-01,2.4835625414841616
2017-12-01,0.7084237123774244
2018-01-01,-1.7925901804287747
2018-02-01,1.4631615232015207
2018-03-01,2.495756492135044
2018-04-01,4.126306065813296
2018-05-01,8.257525917141592
2018-06-01,2.3301005877913923
2018-07-01,2.9002508260477953
2018-08-01,6.0549007199603295
2018-09-01,4.791525312872793
2018-10-01,2.88245560373754
2018-11-01,3.4151177076595047
2018-12-01,7.660040051437477
2019-01-01,7.18684403576529
2019-02-01,9.082543158603968
2019-03-01,10.068183791660616
2019-04-01,6.661874994671763
2019-05-01,7.686197836835078
2019-06-01,-1.785041563296204
2019-07-01,2.405558081157835
2019-08-01,1.0576962068106468
2019-09-01,0.7268906923461884
2019-10-01,3.6329547139806664
2019-11-01,1.326502592540507
2019-12-01,-0.5236883924627023
2020-01-01,-0.2728303087610442
2020-02-01,-0.8452939328643794
2020-03-01,-4.45933176108872
2020-04-01,-16.865754511951323
2020-05-01,-20.612999951001683
2020-06-01,-17.12954361711492
2020-07-01,-12.281877030096126
2020-08-01,-9.192941151947238
2020-09-01,-8.727178064947566
2020-10-01,-14.944769600944511
2020-11-01,-16.273595016147354
2020-12-01,-19.15777152373353
2021-01-01,-16.351743828103054
2021-02-01,-18.133187367329214
2021-03-01,-14.563217955728618
2021-04-01,15.599528028887267
2021-05-01,14.73277477626327
2021-06-01,2.546026264203416
2021-07-01,-6.2290866651572685
