date,consumer_confidence_index
2017-01-01,115.32971184491146
2017-02-01,117.13917969827469
2017-03-01,121.537338150005
2017-04-01,123.70668035625448
2017-05-01,125.92955938487671
2017-06-01,122.35092616858987
2017-07-01,123.3919473356093
2017-08-01,121.88432770604811
2017-09-01,123.7551312526391
2017-10-01,120.70026534253493
2017-11-01,122.14997332273956
2017-12-01,126.3570379010824
2018-01-01,126.0974818304763
2018-02-01,122.50395569116199
2018-03-01,121.60460413813303
2018-04-01,122.22694108673906
2018-05-01,125.14050883739476
2018-06-01,128.10105670054588
2018-07-01,124.8468261212141
2018-08-01,121.57118111450227
2018-09-01,122.39050761793067
2018-10-01,119.20283003371867
2018-11-01,122.72758542534186
2018-12-01,127.01593946456049
2019-01-01,125.461147396463
2019-02-01,125.11611884564464
2019-03-01,124.54294447546599
2019-04-01,128.1093814715303
2019-05-01,128.16588985842878
2019-06-01,126.38361041214051
2019-07-01,124.76840269409935
2019-08-01,123.13970277323213
2019-09-01,121.83706885547335
2019-10-01,118.40010522937985
2019-11-01,124.21041574246802
2019-12-01,126.37152070133067
2020-01-01,121.67355030420066
2020-02-01,117.65232920677441
2020-03-01,113.77699444728816
2020-04-01,84.83021976020402
2020-05-01,77.80327482524667
2020-06-01,83.77580461806193
2020-07-01,86.19095685120772
2020-08-01,86.89966738369253
2020-09-01,83.35748662774392
2020-10-01,79.01812668600294
2020-11-01,92.02611024277263
2020-12-01,96.49623508078412
2021-01-01,84.85427276966135
2021-02-01,85.82472332943655
2021-03-01,93.37063813868969
2021-04-01,101.47902072703405
2021-05-01,104.43251499396462
2021-06-01,107.35821747946031
2021-07-01,80.19740923367598
